# From figure 35, upper panel, http://adsabs.harvard.edu/abs/2013AJ....146...32S
#     lambda         R              FWHM_instr    FWHM_instr
#    angstrom  lambda/(2.35*sigma)  angstrom       km/sec
      3000.00      1536.65          2.44639      195.493
      3751.59      1536.65          2.44639      195.493
      3898.09      1605.81          2.43245      187.074
      4031.85      1658.37          2.43618      181.145
      4171.97      1716.46          2.43553      175.014
      4305.73      1769.02          2.43894      169.814
      4484.08      1824.34          2.46293      164.665
      4700.64      1893.50          2.48758      158.651
      4847.13      1926.69          2.52092      155.917
      4961.78      1948.82          2.55124      154.147
      5082.80      1976.49          2.57689      151.989
      5197.45      1993.08          2.61307      150.724
      5312.10      2009.68          2.64865      149.479
      5426.75      2026.28          2.68366      148.254
      5547.77      2042.88          2.72121      147.050
      5630.57      2048.41          2.75437      146.653
      5700.64      2053.94          2.78113      146.258
      5777.07      2062.24          2.80708      145.669
      5815.29      2065.01          2.82186      145.474
      5847.13      2059.47          2.84494      145.865
      5878.98      2051.18          2.87201      146.455
      5898.09      2031.81          2.90880      147.851
      5936.31      2009.68          2.95989      149.479
      5955.41      1982.02          3.01086      151.565
      5974.52      1962.66          3.05032      153.060
      5993.63      1957.12          3.06873      153.493
      6019.11      1946.06          3.09929      154.366
      6063.69      1943.29          3.12669      154.586
      6114.65      1932.23          3.17102      155.471
      6165.60      1918.40          3.22050      156.592
      6229.30      1912.86          3.26318      157.045
      6305.73      1904.56          3.31762      157.729
      6375.80      1918.40          3.33029      156.592
      6439.49      1937.76          3.32995      155.027
      6515.92      1957.12          3.33614      153.493
      6687.90      2006.92          3.33923      149.685
      6974.52      2076.07          3.36634      144.699
      7222.93      2134.16          3.39134      140.760
      7382.17      2170.12          3.40867      138.427
      7560.51      2217.15          3.41698      135.491
      7707.01      2250.35          3.43181      133.493
      7872.61      2297.37          3.43379      130.760
      8025.48      2338.87          3.43836      128.440
      8165.60      2374.83          3.44542      126.495
      8331.21      2416.32          3.45493      124.323
      8477.71      2449.52          3.46804      122.638
      8605.10      2479.94          3.47696      121.134
      8764.33      2510.37          3.49838      119.665
      8891.72      2529.74          3.52206      118.749
      9070.06      2543.57          3.57316      118.104
      9273.89      2543.57          3.65346      118.104
      9445.86      2529.74          3.74156      118.749
      9547.77      2510.37          3.81110      119.665
      9668.79      2479.94          3.90676      121.134
      9821.66      2427.39          4.05445      123.757
      9910.83      2388.66          4.15759      125.763
      10006.4      2347.16          4.27188      127.986
      10076.4      2302.90          4.38447      130.446
      10146.5      2269.71          4.47953      132.354
      10216.6      2228.22          4.59445      134.819
      10299.4      2189.49          4.71361      137.203
      10458.6      2139.70          4.89787      140.396
      12000.0      2139.70          4.89787      140.396
