# NAME                        cz     s     ell    PA    bundle  Reff     mode
ma008_cgcg122-022            3590.  60.0   0.80   73.3   127    6.77    datacubes
ma001_145.125955+21.253809   7200.  90.0   0.25   41.6    19    2.88    datacubes 
ma006_206.70605+14.400476    6600. 105.0   0.52   57.5    19    2.82    datacubes    
ma005_142.790030+22.746507  15300. 208.0   0.80   -2.7    19    3.95    datacubes
ma002_164.44418+36.282683    9000.  68.5   0.47   92.9    61    3.35    datacubes   
ma002_208.04816+13.999926    7200.  80.4   0.57  175.5    61    7.32    datacubes
ma003_207.87863+14.092194    6900. 195.6   0.59  105.6   127   16.95    datacubes
ma004_165.05043+36.387252    8100.  76.1   0.22   29.8    19    2.48    datacubes 
ma005_162.49460+36.415032    6900.  43.1   0.70   55.0    19    4.55    datacubes 
ma007_142.787803+20.916828  10200. 174.5   0.28   38.3    19    3.16    datacubes    
ma005_207.29175+13.347008    7200.  30.8   0.53  168.9    19    2.37    datacubes 
ma006_164.02366+36.960032    6600.  70.0   0.38   99.9    19    4.77    datacubes    
ma008_209.23090+14.142252    4500.  31.3   0.30  173.4   127    9.61    datacubes
ma008_163.24608+37.613401   12600. 163.0   0.22   11.8   127   13.86    datacubes 
ma004_207.58111+14.140749   18600. 132.2   0.76  132.3    19    1.12    datacubes
ma002_ugc5124                6000. 104.0   0.29   20.1    61    9.27    datacubes    
ma003_ngc2916                3665. 120.0   0.31   14.2   127   23.67    datacubes  
ma003_163.98025+36.861503    6502. 200.0   0.56  101.2   127   10.25    datacubes 
ma008_cgcg122-022            3590.  60.0   0.80   73.3   127    6.77    rss
ma001_145.125955+21.253809   7200.  90.0   0.25   41.6    19    2.88    rss    
ma006_206.70605+14.400476    6600. 105.0   0.52   57.5    19    2.82    rss    
ma005_142.790030+22.746507  15300. 208.0   0.80   -2.7    19    3.95    rss    
ma002_ugc5124                6000. 104.0   0.29   20.1    61    9.27    rss    
ma003_ngc2916                3665. 120.0   0.31   14.2   127   23.67    rss    
ma003_163.98025+36.861503    6502. 200.0   0.56  101.2   127   10.25    rss    
ma002_164.44418+36.282683    9000.  68.5   0.47   92.9    61    3.35    rss    
ma002_208.04816+13.999926    7200.  80.4   0.57  175.5    61    7.32    rss    
ma003_207.87863+14.092194    6900. 195.6   0.59  105.6   127   16.95    rss    
ma004_165.05043+36.387252    8100.  76.1   0.22   29.8    19    2.48    rss    
ma005_162.49460+36.415032    6900.  43.1   0.70   55.0    19    4.55    rss    
ma007_142.787803+20.916828  10200. 174.5   0.28   38.3    19    3.16    rss    
ma005_207.29175+13.347008    7200.  30.8   0.53  168.9    19    2.37    rss    
ma006_164.02366+36.960032    6600.  70.0   0.38   99.9    19    4.77    rss    
ma008_209.23090+14.142252    4500.  31.3   0.30  173.4   127    9.61    rss    
ma008_163.24608+37.613401   12600. 163.0   0.22   11.8   127   13.86    rss    
ma004_207.58111+14.140749   18600. 132.2   0.76  132.3    19    1.12    rss    
#ma007_207.82532+14.356311  10000. 200.0   0.00   73.2    19    1.00    datacubes
#ma007_207.82532+14.356311  10000. 200.0   0.00   73.2    19    1.00    rss    
#ma007_163.82649+37.273025   10000. 200.0   0.00  118.6    19    1.00    datacubes
#ma007_163.82649+37.273025   10000. 200.0   0.00  118.6    19    1.00    rss    
